
DECIMAL       HEXADECIMAL     DESCRIPTION
--------------------------------------------------------------------------------
0             0x0             ELF, 64-bit LSB core file AMD x86-64, version 1 (SYSV)
18052         0x4684          Unix path: /usr/bin/python3.10
32768         0x8000          ELF, 64-bit LSB shared object, AMD x86-64, version 1 (SYSV)
611664        0x95550         Unix path: /usr/lib/locale/C.UTF-8.utf8/LC_CTYPE
612064        0x956E0         Unix path: /usr/lib/locale/C.utf8/LC_CTYPE
743584        0xB58A0         Unix path: /usr/lib/python3.10/lib-dynload
821272        0xC8818         Copyright string: "copyright -- copyright notice pertaining to this interpreter"
821285        0xC8825         Copyright string: "copyright notice pertaining to this interpreter"
841584        0xCD770         Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/PIL/../pillow.libs/libjpeg-e44fd0cd.so.62.4.0
900032        0xDBBC0         Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/PIL/../pillow.libs/
921584        0xE0FF0         Unix path: /home/gsemaj/.local/bin:/home/gsemaj/.cargo/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/loc
1005216       0xF56A0         Unix path: /usr/lib/python3.10/lib-dynload/_bz2.cpython-310-x86_64-linux-gnu.so
1012624       0xF7390         Unix path: /usr/lib/python3.10/lib-dynload/_lzma.cpython-310-x86_64-linux-gnu.so
1030767       0xFBA6F         Copyright string: "Copyright CNRI, All Rights Reserved. NO WARRANTY."
1049600       0x100400        Unix path: /lib/x86_64-linux-gnu/liblzma.so.5
1090288       0x10A2F0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/PIL/../pillow.libs
1113392       0x10FD30        Unix path: /lib/x86_64-linux-gnu/libpthread.so.0
1134696       0x115068        Unix path: /usr/local/lib/python<version>/dist-packages, Debian addons
1134769       0x1150B1        Unix path: /usr/lib/python3/dist-packages.
1134801       0x1150D1        Unix path: /usr/lib/python<version>/site-packages is not used.
1135996       0x11557C        Unix path: /usr/local/lib/python2.5/site-packages
1136361       0x1156E9        Unix path: /usr/local/lib/python2.5/site-packages/bar
1136406       0x115716        Unix path: /usr/local/lib/python2.5/site-packages/foo
1203692       0x125DEC        ESP Image segment count: 1, flash mode: QUIO, flash speed: 40MHz, flash size: 1MB, entry address: 0x18, hash: none
1238064       0x12E430        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/PIL/../pillow.libs
1297280       0x13CB80        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/PIL/../pillow.libs/libtiff-91af027d.so.6.0.2
1364288       0x14D140        Unix path: /usr/lib/python3.10/lib-dynload
1468864       0x1669C0        Unix path: /lib/x86_64-linux-gnu/libbz2.so.1.0
1491664       0x16C2D0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/PIL/_imaging.cpython-310-x86_64-linux-gnu.so
1542720       0x178A40        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/PIL
1546352       0x179870        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/PIL/../pillow.libs/libopenjp2-eca49203.so.2.5.0
1644063       0x19161F        mcrypt 2.2 encrypted data, algorithm: blowfish-448, mode: CBC, keymode: 8bit
1648080       0x1925D0        Unix path: /usr/lib/python3.10/lib-dynload
1653904       0x193C90        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/PIL/../pillow.libs/libxcb-f0538cc0.so.1.1.0
1674592       0x198D60        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/PIL/../pillow.libs
1684736       0x19B500        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/PIL/../pillow.libs/liblzma-13fa198c.so.5.4.5
1709352       0x1A1528        Unix path: /usr/lib/python3.10/lib-dynload/_bz2.cpython-310-x86_64-linux-gnu.so
1723512       0x1A4C78        Unix path: /usr/lib/python3.10/lib-dynload/_lzma.cpython-310-x86_64-linux-gnu.so
1733056       0x1A71C0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/PIL/../pillow.libs
1752752       0x1ABEB0        Unix path: /lib/x86_64-linux-gnu/libmpdec.so.3
1758288       0x1AD450        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/PIL/../pillow.libs/libXau-154567c4.so.6.0.0
1770416       0x1B03B0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/PIL/../pillow.libs
1843320       0x1C2078        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/PIL/_imaging.cpython-310-x86_64-linux-gnu.so
1847328       0x1C3020        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/PIL/_imagingmath.cpython-310-x86_64-linux-gnu.so
1955040       0x1DD4E0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/PIL/../pillow.libs
2050335       0x1F491F        mcrypt 2.2 encrypted data, algorithm: blowfish-448, mode: CBC, keymode: 8bit
2081312       0x1FC220        Unix path: /lib/x86_64-linux-gnu/libssl.so.3
2108592       0x202CB0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/PIL
2108736       0x202D40        JPEG image data, JFIF standard 1.01
2134722       0x2092C2        Executable script, shebang: "/usr/bin/env python', r'python(2\.\d)?')"
2134724       0x2092C4        Unix path: /usr/bin/env python', r'python(2\.\d)?')
2134807       0x209317        Executable script, shebang: "/usr/bin/python2.4', r'python(2\.\d)?')"
2134809       0x209319        Unix path: /usr/bin/python2.4', r'python(2\.\d)?')
2134891       0x20936B        Executable script, shebang: "/usr/bin/python-ruby', r'python(2\.\d)?')"
2134893       0x20936D        Unix path: /usr/bin/python-ruby', r'python(2\.\d)?')
2134978       0x2093C2        Executable script, shebang: "/usr/bin/python/ruby', r'python(2\.\d)?')"
2134980       0x2093C4        Unix path: /usr/bin/python/ruby', r'python(2\.\d)?')
2135065       0x209419        Executable script, shebang: "/usr/bin/startsomethingwith python',"
2135067       0x20941B        Unix path: /usr/bin/startsomethingwith python',
2138880       0x20A300        Unix path: /usr/lib/python3.10/lib-dynload
2349240       0x23D8B8        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/PIL/_imagingmath.cpython-310-x86_64-linux-gnu.so
2396224       0x249040        Unix path: /usr/lib/python3.10/lib-dynload/_queue.cpython-310-x86_64-linux-gnu.so
2404720       0x24B170        ESP Image (ESP32): segment count: 8, flash mode: QUIO, flash speed: 40MHz, flash size: 1MB, entry address: 0x0, hash: none
2495896       0x261598        Unix path: /usr/lib/python3.10/lib-dynload/_opcode.cpython-310-x86_64-linux-gnu.so
2549200       0x26E5D0        Unix path: /usr/lib/python3.10/lib-dynload
2563584       0x271E00        Unix path: /usr/lib/python3.10/lib-dynload/_json.cpython-310-x86_64-linux-gnu.so
2570925       0x273AAD        Copyright string: "copyright: Copyright 2008 by Armin Ronacher."
2570936       0x273AB8        Copyright string: "Copyright 2008 by Armin Ronacher."
2571680       0x273DA0        Unix path: /usr/lib/python3.10/lib-dynload/_opcode.cpython-310-x86_64-linux-gnu.so
2573136       0x274350        Unix path: /usr/lib/python3.10/lib-dynload
2617920       0x27F240        Unix path: /usr/lib/python3.10/lib-dynload
2711552       0x296000        Unix path: /usr/lib/python3.10/lib-dynload
2729784       0x29A738        Unix path: /usr/lib/python3.10/lib-dynload/_json.cpython-310-x86_64-linux-gnu.so
2735216       0x29BC70        Unix path: /usr/lib/python3.10/lib-dynload/_sqlite3.cpython-310-x86_64-linux-gnu.so
2765936       0x2A3470        Unix path: /usr/lib/python3.10/lib-dynload/termios.cpython-310-x86_64-linux-gnu.so
2818352       0x2B0130        Unix path: /usr/lib/python3.10/lib-dynload/_decimal.cpython-310-x86_64-linux-gnu.so
2939352       0x2CD9D8        Unix path: /usr/lib/python3.10/lib-dynload/_queue.cpython-310-x86_64-linux-gnu.so
3015505       0x2E0351        Copyright string: "Copyright (C) 2000  Luke Kenneth Casson Leighton <lkcl@samba.org>"
3154268       0x30215C        Unix path: /usr/lib/x86_64-linux-gnu' '--enable-ipv6' '--enable-loadable-sqlite-extensions' '--with-dbmliborder=bdb:gdbm' '--with-computed-
3158961       0x3033B1        Unix path: /home/fperez/usr/lib/python2.6/site-packages/IPython',
3159193       0x303499        Unix path: /usr/bin/python',
3183292       0x3092BC        Unix path: /usr/share/doc/pythonX.Y/html/library
3191877       0x30B445        Copyright string: "Copyright (c) 1999-2000, Marc-Andre Lemburg; mailto:mal@lemburg.com"
3191949       0x30B48D        Copyright string: "Copyright (c) 2000-2010, eGenix.com Software GmbH; mailto:info@egenix.com"
3192206       0x30B58E        Copyright string: "copyright notice appear in all copies and that"
3192267       0x30B5CB        Copyright string: "copyright notice and this permission notice appear in"
3194272       0x30BDA0        Unix path: /usr/lib/python3.10/lib-dynload/resource.cpython-310-x86_64-linux-gnu.so
3216384       0x311400        Unix path: /lib/x86_64-linux-gnu/libsqlite3.so.0
3356222       0x33363E        Copyright string: "Copyright (c) 2021 Alex Hall"
3356696       0x333818        Copyright string: "copyright notice and this permission notice shall be included in all"
3407008       0x33FCA0        Unix path: /usr/lib/python3.10/lib-dynload/_hashlib.cpython-310-x86_64-linux-gnu.so
3422272       0x343840        Unix path: /usr/lib/python3.10/lib-dynload
3441426       0x348312        Copyright string: "copyright: Copyright 2006-2021 by the Pygments team, see AUTHORS."
3441437       0x34831D        Copyright string: "Copyright 2006-2021 by the Pygments team, see AUTHORS."
3447134       0x34995E        ESP Image (ESP32): segment count: 12, flash mode: QUIO, flash speed: 40MHz, flash size: 1MB, entry address: 0x0, hash: none
3488352       0x353A60        Unix path: /usr/lib/python3.10/lib-dynload
3496398       0x3559CE        Minix filesystem, V1, little endian, 30 char names, 28684 zones
3575671       0x368F77        Copyright string: "copyright: Copyright 2006-2021 by the Pygments team, see AUTHORS."
3575682       0x368F82        Copyright string: "Copyright 2006-2021 by the Pygments team, see AUTHORS."
3837808       0x3A8F70        Unix path: /usr/lib/python3.10/lib-dynload
3856227       0x3AD763        Copyright string: "Copyright (c) 2012, Noah Spurrier <noah@noah.org>"
3875208       0x3B2188        Unix path: /usr/lib/python3.10/lib-dynload/termios.cpython-310-x86_64-linux-gnu.so
3883176       0x3B40A8        Unix path: /usr/lib/python3.10/lib-dynload/resource.cpython-310-x86_64-linux-gnu.so
3905711       0x3B98AF        mcrypt 2.2 encrypted data, algorithm: blowfish-448, mode: CBC, keymode: 8bit
3906611       0x3B9C33        Unix path: /usr/bin/ftp')
3906661       0x3B9C65        Unix path: /usr/bin/ssh user@example.com')
3906850       0x3B9D22        Unix path: /usr/bin/ftp', [])
3906904       0x3B9D58        Unix path: /usr/bin/ssh', ['user@example.com'])
3941195       0x3C234B        Unix path: /usr/local/apache/bin/apachectl start")
4005352       0x3D1DE8        Unix path: /usr/lib/python3.10/lib-dynload/_hashlib.cpython-310-x86_64-linux-gnu.so
4079072       0x3E3DE0        Unix path: /usr/lib/python3.10/lib-dynload/_ssl.cpython-310-x86_64-linux-gnu.so
4081504       0x3E4760        Unix path: /usr/lib/python3.10/lib-dynload
4305024       0x41B080        Unix path: /usr/lib/python3.10/lib-dynload
4348160       0x425900        Unix path: /usr/lib/python3.10/lib-dynload/_asyncio.cpython-310-x86_64-linux-gnu.so
4381397       0x42DAD5        Unix path: /lib/tests/test.wav')  # doctest: +SKIP
4381468       0x42DB1C        Unix path: /lib/tests/test.wav')  # doctest: +SKIP
4396469       0x4315B5        Unix path: /lib/tests/test.wav')  # doctest: +SKIP
4396540       0x4315FC        Unix path: /lib/tests/test.wav')  # doctest: +SKIP
4409465       0x434879        Copyright string: "copyright: 2007 by Armin Ronacher."
4587609       0x460059        ESP Image (ESP32): segment count: 1, flash mode: QUIO, flash size: 4MB, entry address: 0x59000000, hash: sha256
4621665       0x468561        Copyright string: "Copyright 2006-2021 by the Pygments team."
4621768       0x4685C8        HTML document header
4621961       0x468689        Copyright string: "Copyright 2006-2021 by the Pygments team."
4627525       0x469C45        ESP Image (ESP32): segment count: 1, flash mode: QUIO, flash size: 4MB, entry address: 0x5f000000, hash: none
4644469       0x46DE75        ESP Image (ESP32): segment count: 1, flash mode: QUIO, flash size: 4MB, entry address: 0x43000000, hash: none
4652777       0x46FEE9        ESP Image (ESP32): segment count: 1, flash mode: QUIO, flash speed: 40MHz, flash size: 1MB, entry address: 0x0, hash: sha256
4655781       0x470AA5        ESP Image segment count: 1, flash mode: QUIO, flash size: 4MB, entry address: 0x4a000000, hash: none
4728848       0x482810        Unix path: /usr/lib/python3.10/lib-dynload
4745568       0x486960        Unix path: /usr/lib/python3.10/lib-dynload/_uuid.cpython-310-x86_64-linux-gnu.so
4928200       0x4B32C8        Unix path: /usr/lib/python3.10/lib-dynload/_sqlite3.cpython-310-x86_64-linux-gnu.so
4978128       0x4BF5D0        Unix path: /usr/lib/python3.10/lib-dynload/_contextvars.cpython-310-x86_64-linux-gnu.so
5010096       0x4C72B0        Unix path: /lib/x86_64-linux-gnu/libuuid.so.1
5076328       0x4D7568        Unix path: /usr/lib/python3.10/lib-dynload/_ssl.cpython-310-x86_64-linux-gnu.so
5184792       0x4F1D18        Unix path: /usr/lib/python3.10/lib-dynload/_asyncio.cpython-310-x86_64-linux-gnu.so
5202712       0x4F6318        Unix path: /usr/lib/python3.10/lib-dynload/_contextvars.cpython-310-x86_64-linux-gnu.so
5657888       0x565520        ESP Image (ESP32): segment count: 6, flash mode: QUIO, flash speed: 40MHz, flash size: 1MB, entry address: 0x0, hash: none
6468440       0x62B358        Unix path: /usr/lib/python3.10/lib-dynload/_uuid.cpython-310-x86_64-linux-gnu.so
6613328       0x64E950        Unix path: /usr/lib/python3.10/lib-dynload/_lsprof.cpython-310-x86_64-linux-gnu.so
6849248       0x6882E0        Unix path: /usr/lib/python3.10/lib-dynload
6993824       0x6AB7A0        ESP Image (ESP32): segment count: 7, flash mode: QUIO, flash speed: 40MHz, flash size: 1MB, entry address: 0x0, hash: none
7770479       0x76916F        mcrypt 2.2 encrypted data, algorithm: blowfish-448, mode: CBC, keymode: 8bit
8798728       0x864208        Unix path: /usr/lib/python3.10/lib-dynload/_lsprof.cpython-310-x86_64-linux-gnu.so
8942904       0x887538        Unix path: /usr/local/lf9560/bin:/usr/local/intel/compiler70/ia32/bin:...
8946349       0x8882AD        Unix path: /home/tsuser/parent/child
9051496       0x8A1D68        Unix path: /usr/local/games:/usr/lib/wsl/lib:/mnt/c/Program Files (x86)/Razer/ChromaBroadcast/bin:/mnt/c/Program Files/Razer/ChromaBroadcas
9072576       0x8A6FC0        Zlib compressed data, default compression
9516422       0x913586        ESP Image (ESP32): segment count: 11, flash mode: DOUT, flash speed: 40MHz, flash size: 1MB, entry address: 0x0, hash: sha256
10909904      0xA678D0        Unix path: /home/gsemaj/.local/bin/display
11932704      0xB61420        Unix path: /usr/lib/python3.10/email/_policybase.py
11935200      0xB61DE0        Unix path: /usr/lib/python3.10/email/quoprimime.py
11935872      0xB62080        Unix path: /usr/lib/python3.10/email/base64mime.py
11937024      0xB62500        Unix path: /usr/lib/python3.10/email/encoders.py
11939904      0xB63040        Unix path: /usr/lib/python3.10/email/_parseaddr.py
11941536      0xB636A0        Unix path: /usr/lib/python3.10/email/message.py
11945664      0xB646C0        XML document, version: "1.0"
11976272      0xB6BE50        Unix path: /usr/lib/python3.10/quopri.py
11976752      0xB6C030        Unix path: /usr/lib/python3.10/quopri.py
12111008      0xB8CCA0        HTML document header
12111328      0xB8CDE0        HTML document footer
12114768      0xB8DB50        Unix path: /usr/lib/python3.10/calendar.py
12149888      0xB96480        Unix path: /usr/lib/python3.10/email/__pycache__/iterators.cpython-310.pyc
12152240      0xB96DB0        Unix path: /usr/lib/python3.10/__pycache__/cProfile.cpython-310.pyc
12153808      0xB973D0        Unix path: /usr/lib/python3.10/__pycache__/pstats.cpython-310.pyc
12163552      0xB999E0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/core/magics/config.py
12164192      0xB99C60        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/utils/contexts.py
12165472      0xB9A160        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/core/magics/display.py
12167648      0xB9A9E0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/utils/module_paths.py
12169184      0xB9AFE0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/utils/timing.py
12170976      0xB9B6E0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/core/magics/logging.py
12171872      0xB9BA60        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/core/magics/logging.py
12172256      0xB9BBE0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/core/magics/osm.py
12172512      0xB9BCE0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/core/magics/osm.py
12174176      0xB9C360        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/core/magics/pylab.py
12174944      0xB9C660        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/core/magics/pylab.py
12175840      0xB9C9E0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/core/magics/script.py
12176096      0xB9CAE0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/core/magics/script.py
12176608      0xB9CCE0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/core/shellapp.py
12205488      0xBA3DB0        Unix path: /usr/lib/python3.10/uu.py
12246208      0xBADCC0        Unix path: /usr/lib/python3.10/email/_encoded_words.py
12246688      0xBADEA0        Unix path: /usr/lib/python3.10/email/iterators.py
12403600      0xBD4390        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/core/magics/execution.py
12405760      0xBD4C00        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/core/magics/extension.py
12488800      0xBE9060        Unix path: /usr/lib/python3.10/cProfile.py
12493040      0xBEA0F0        Unix path: /usr/lib/python3.10/profile.py
12499280      0xBEB950        Unix path: /usr/lib/python3.10/pstats.py
12503440      0xBEC990        Unix path: /usr/lib/python3.10/timeit.py
12626928      0xC0ABF0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/core/magics/extension.py
12628224      0xC0B100        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/core/magics/namespace.py
12631680      0xC0BE80        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/core/magics/packaging.py
12634848      0xC0CAE0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/core/magics/packaging.py
12784032      0xC311A0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/core/__pycache__/pylabtools.cpython-310.pyc
